M1HE,20210930,70,70,70,70,216600
M1HF,20210930,6,6,6,6,5800
M1HG,20210930,39,39,39,39,100200
M1HH,20210930,260,260,260,260,429500
M1HI,20210930,0.01,0.01,0.01,0.01,7300
M1HJ,20210930,0.01,0.01,0.01,0.01,2800
M1HK,20210930,0.01,0.01,0.01,0.01,7400
M1HL,20210930,178,178,178,178,345300
M1HM,20210930,0.01,0.01,0.01,0.01,3200
M1HN,20210930,162,162,162,162,209400
M1HO,20210930,2,2,2,2,10000
M1HP,20210930,12,12,12,12,49600
M1HQ,20210930,266,266,266,266,329600
M1HR,20210930,0.01,0.01,0.01,0.01,2900
M1HS,20210930,2,2,2,2,6300
M1HT,20210930,2,2,2,2,2200
M1HU,20210930,181,181,181,181,343400
M1HV,20210930,257,257,257,257,431400
M1HW,20210930,3,3,3,3,2600
M1HX,20210930,438,438,438,438,558600
M1HY,20210930,0.01,0.01,0.01,0.01,6300
M1HZ,20210930,171,171,171,171,264200
M1LA,20210930,30,30,30,30,19600
M1LB,20210930,8,8,8,8,2800
M1LC,20210930,287,287,287,287,194300
M1LE,20210930,718,718,718,718,216600
M1LF,20210930,5,5,5,5,5800
M1LG,20210930,249,249,249,249,100200
M1LH,20210930,578,578,578,578,429500
M1LI,20210930,28,28,28,28,7300
M1LJ,20210930,7,7,7,7,2800
M1LK,20210930,26,26,26,26,7400
M1LL,20210930,374,374,374,374,345300
M1LM,20210930,10,10,10,10,3200
M1LN,20210930,348,348,348,348,209400
M1LO,20210930,33,33,33,33,10000
M1LP,20210930,149,149,149,149,49600
M1LQ,20210930,574,574,574,574,329600
M1LR,20210930,5,5,5,5,2900
M1LS,20210930,27,27,27,27,6300
M1LT,20210930,0.01,0.01,0.01,0.01,2200
M1LU,20210930,150,150,150,150,343400
M1LV,20210930,802,802,802,802,431400
M1LW,20210930,6,6,6,6,2600
M1LX,20210930,952,952,952,952,558600
M1LY,20210930,26,26,26,26,6300
M1LZ,20210930,483,483,483,483,264200
M3DA,20210930,-14,-14,-14,-14,19600
M3DB,20210930,-1,-1,-1,-1,2800
M3DC,20210930,-61,-61,-61,-61,194300
M3DE,20210930,-235,-235,-235,-235,216600
M3DF,20210930,6,6,6,6,5800
M3DG,20210930,-96,-96,-96,-96,100200
M3DH,20210930,-112,-112,-112,-112,429500
M3DI,20210930,-15,-15,-15,-15,7300
M3DJ,20210930,-2,-2,-2,-2,2800
M3DK,20210930,-11,-11,-11,-11,7400
M3DL,20210930,-140,-140,-140,-140,345300
M3DM,20210930,-6,-6,-6,-6,3200
M3DN,20210930,-80,-80,-80,-80,209400
M3DO,20210930,-15,-15,-15,-15,10000
M3DP,20210930,-55,-55,-55,-55,49600
M3DQ,20210930,-158,-158,-158,-158,329600
M3DR,20210930,-3,-3,-3,-3,2900
M3DS,20210930,-9,-9,-9,-9,6300
M3DT,20210930,1,1,1,1,2200
M3DU,20210930,15,15,15,15,343400
M3DV,20210930,-267,-267,-267,-267,431400
M3DW,20210930,0.01,0.01,0.01,0.01,2600
M3DX,20210930,-252,-252,-252,-252,558600
M3DY,20210930,-14,-14,-14,-14,6300
M3DZ,20210930,-135,-135,-135,-135,264200
M3HA,20210930,6,6,6,6,19600
M3HB,20210930,0.01,0.01,0.01,0.01,2800
M3HC,20210930,87,87,87,87,194300
M3HE,20210930,35,35,35,35,216600
M3HF,20210930,6,6,6,6,5800
M3HG,20210930,27,27,27,27,100200
M3HH,20210930,154,154,154,154,429500
M3HI,20210930,0.01,0.01,0.01,0.01,7300
M3HJ,20210930,0.01,0.01,0.01,0.01,2800
M3HK,20210930,0.01,0.01,0.01,0.01,7400
M3HL,20210930,78,78,78,78,345300
M3HM,20210930,0.01,0.01,0.01,0.01,3200
M3HN,20210930,88,88,88,88,209400
M3HO,20210930,2,2,2,2,10000
M3HP,20210930,10,10,10,10,49600
M3HQ,20210930,138,138,138,138,329600
M3HR,20210930,0.01,0.01,0.01,0.01,2900
M3HS,20210930,1,1,1,1,6300
M3HT,20210930,1,1,1,1,2200
M3HU,20210930,89,89,89,89,343400
M3HV,20210930,143,143,143,143,431400
M3HW,20210930,3,3,3,3,2600
